spam/ham,message
0, نقطہ، پاگل جب تک جاؤ .. صرف  عظیم دنیا لا ای بوفے میں دستیاب ہے ... سنے محبت وہاں مل گیا ...
0,ٹھیک لار ...  میں مذاق ...
1,2 ایک  معاضہ میں مفت داخلے 87121 کو ایف اے کپ کے فائنل کے 21 مئی 2005. ہائے  جیتنے کے لئے اندراج سوال موصول کرنا (ایسٹیڈی  شرح) T & C کی 08452810075 کی درخواست دے
0,یو ڈن کہتے اتنی جلدی ہور ... U پہلے سے ہی تو کہتے ج ...
0, میں مجھے نہیں لگتا کہ وہ یو ایس ایف کو جاتا ہے، وہ یہاں کے ارد گرد اگرچہ رہتا ہے
1, ارے وہاں ڈارلنگ اب یہ 3 ہفتے ہے اور کوئی لفظ واپس ہو گیا ہے! میں اب بھی اس کے لئے آپ کو کچھ مزہ چاہتے ہیں؟ TB ٹھیک ہے! XxX کی RCV کیلئے، ایک ¥ Â £ 1.50 بھیجنے کے لئے  ایسٹیڈی
0,یہاں تک کہ میرے بھائی کو میرے ساتھ بات کرنے کی طرح نہیں ہے. انہوں نے مجھے ایڈز پیٹنٹ کی طرح کا علاج.
0,آپ کی درخواست 'سے   میں)' کے مطابق تمام کالرز کے لیے آپ کالرٹون کے طور پر مقرر کیا گیا ہے. پریس * 9 اپنے دوستوں کالرٹون کاپی کرنے کے لئے
1,فاتح !! ایک قابل قدر نیٹ ورک کسٹمر کے طور پر آپ وصول کریں £ 900 انعام اجر کو منتخب کیا گیا ہے! کال 09061701461. دعوی کوڈ KL341 کا دعوی کرنے کے لئے. درست 12 گھنٹے صرف.
1,آپ کے موبائل 11 ماہ یا تھا اس سے زیادہ؟ یو آر مفت کے لئے کیمرے کے ساتھ تازہ ترین رنگ موبائلوں کو اپ ڈیٹ کرنے کے حقدار! 08002986030 پر موبائل اپ ڈیٹ شریک فری کال
0,میں گھر جلد ہی ہو جائے کرنے والا ہوں اور میں اس چیز کے بارے میں، اب آج رات بات کرنے K نہیں کرنا چاہتے؟ آج میں کافی پکارا گئے ہیں.
1, امکانات نقد جیتنے کے لئے! 100 سے 20،000 پونڈ سے TXT> CSH11 اور 87575. لاگت 150p / دن، 6 کے، 16+  جواب لاگو کرنے کے لئے بھیجیں HL 4 کی معلومات
1,فوری! آپ ہمارے Ã ¥ ایک £ 100،000 انعام لاٹری میں ایک 1 ہفتہ مفت کی رکنیت حاصل کر چکے ہیں! لفظ TXT: کوئی کا دعوی: 81010 T & C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18
0,مجھے یہ سانس کے لئے آپ کا شکریہ ادا کرنا صحیح الفاظ کے لئے تلاش کر رہا ہوں. میں وعدہ کی جاچکی کے لئے میں آپ کی مدد لے گا اور میرے عہد کو پورا کرے گا. آپ حیرت انگیز اور تمام اوقات میں ایک نعمت کیا گیا ہے.
0,میں اتوار کے ساتھ مرضی پر ایک تاریخ ہے !!
